Nav_Date,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037
21-04-2020,175.69,26.45,163.615,364.345,174.05,33.68,191.442,101.124,205.26,34.18,47.418,41.735,105.86,31.54,81.349,22.028,25.96,42.167,28.119,16.356,18.82,55.916,318.82,9.91,180.403,86.391,8.085,250.03,100.776,46.156,573.91,10.54,34.123,489.743,66.866,28.315,121.433
22-04-2020,178.07,26.93,166.55,368.946,177.531,34.16,194.98,102.674,205.19,34.4,47.957,41.97,106.78,32.021,82.162,21.994,26.21,42.207,28.302,16.401,18.87,56.799,323.33,10.03,182.553,87.592,8.2,252.18,102.383,46.404,580.47,10.72,34.462,495.15,68.21,28.736,122.687
23-04-2020,180.09,27.28,168.654,371.838,179.244,34.52,197.439,103.9,207.83,34.73,48.572,42.356,107.86,32.266,83.139,22.321,26.51,42.541,28.679,16.499,19.07,57.342,327.31,10.17,184.804,88.502,8.3,254.66,103.614,46.961,589.18,10.87,34.931,498.313,68.934,29.058,124.117
24-04-2020,176.58,26.85,164.609,365.843,176.946,33.88,194.057,101.996,204.35,34.34,48.004,41.621,106.14,31.682,81.357,21.743,25.91,42.032,28.133,16.226,18.66,56.264,320.13,9.99,182.157,87.083,8.157,249.85,101.625,46.053,577.21,10.71,34.181,490.58,67.639,28.52,122.09
27-04-2020,178.96,27.22,167.817,369.553,178.663,34.35,197.263,103.198,207.22,35.05,48.875,42.429,108.21,32.294,82.485,21.915,26.17,42.615,28.35,16.395,18.63,57.079,325.65,10.19,184.727,88.038,8.301,251.57,103.263,46.436,586.99,10.88,34.795,495.247,68.565,28.998,124.153
28-04-2020,180.31,27.36,169.814,372.028,179.553,34.54,199.101,104.158,209.01,35.23,49.33,42.838,109.44,32.532,83.156,22.191,26.51,43.054,28.409,16.441,18.71,57.299,329.25,10.32,185.845,88.543,8.368,251.88,104.418,46.896,592.45,10.92,35.158,497.254,69.119,29.327,125.537
29-04-2020,183.16,27.65,172.496,379.546,182.578,35.09,201.952,105.892,210.8,35.63,49.731,43.374,110.13,32.818,84.149,22.361,26.68,43.442,28.651,16.595,18.82,57.939,333.91,10.4,187.948,90.033,8.475,256.74,105.486,47.533,605.04,11.04,35.612,506.799,70.006,29.754,127.39
30-04-2020,188.2,28.18,177.368,390.874,186.868,36.23,207.488,108.683,214.81,36.12,50.539,43.909,111.53,33.359,85.938,22.678,26.9,43.908,28.879,16.818,19.14,58.783,341.28,10.6,192.219,92.302,8.63,264.98,107.533,48.756,618.74,11.22,36.284,519.905,71.301,30.416,130.604
04-05-2020,179,26.92,167.092,369.884,176.737,34.34,196.924,103.123,208.31,35.01,48.487,42.211,107.92,31.951,82.641,21.894,26.03,42.325,27.975,16.255,18.49,56.718,325.4,10.16,183.5,87.729,8.211,252.27,102.92,46.607,589.11,10.73,34.551,493.403,67.676,28.938,124.372
05-05-2020,177.09,26.57,164.985,366.986,175.109,34.05,195.187,101.789,207.27,34.64,48.159,41.974,107.42,31.754,82.383,21.817,25.85,41.769,27.75,16.15,18.26,56.246,321.37,10.08,182.324,86.969,8.127,250.87,102.174,46.195,580.65,10.58,34.141,488.543,67.112,28.635,123.071
06-05-2020,178.7,26.74,167.164,367.946,176.329,34.37,196.834,102.816,208.27,34.96,48.547,42.104,107.77,31.864,83.091,21.9,26.07,41.951,27.867,16.206,18.32,56.406,325.78,10.19,183.808,87.291,8.18,253.63,102.703,46.488,587.48,10.65,34.489,489.617,67.6,28.881,124.101
07-05-2020,177.18,26.47,165.451,364.58,174.713,34.04,195.473,101.768,205.78,34.77,48.326,41.912,107.67,31.7,82.887,21.896,25.97,41.92,27.935,16.214,18.32,56.02,323.82,10.11,181.689,86.395,8.114,250.39,102.14,46.262,582.94,10.54,34.092,484.416,67.101,28.671,122.794
08-05-2020,177.72,26.77,166.489,362.935,176.166,34.18,196.476,102.332,204.24,34.83,48.326,41.708,107.54,31.574,82.601,21.672,25.75,41.674,27.755,16.049,18.13,55.527,326.29,10.12,181.448,86.13,8.15,249.54,102.463,45.89,585.45,10.66,34.243,480.674,67.491,28.815,123.061
11-05-2020,177.49,26.72,166.344,361.803,175.675,34.24,196.756,102.393,204.51,35.01,48.612,41.881,107.58,31.657,83.155,21.592,25.63,41.44,27.648,16.001,18.06,55.177,326.12,10.13,181.611,85.794,8.15,249.37,102.724,46.026,583.06,10.65,34.283,478.911,67.12,28.921,123.168
12-05-2020,177.27,26.63,166.285,362.095,174.715,34.29,195.852,102.359,203.14,34.89,48.377,41.723,106.76,31.346,82.65,21.472,25.38,41.26,27.422,15.891,17.98,54.712,323.9,10.11,181.536,85.625,8.102,251.42,101.908,46.046,583.8,10.62,34.321,480.15,66.773,28.715,123.133
13-05-2020,180.57,26.89,170.055,371.943,178.034,34.95,199.739,104.229,206.36,35.22,49.148,42.447,108.01,31.906,83.826,21.938,25.8,42.024,27.996,16.22,18.35,55.879,329.91,10.17,184.823,87.392,8.237,255.81,104.03,46.878,593.44,10.73,34.971,494.153,67.984,29.427,124.895
14-05-2020,176.65,26.4,166.516,362.501,174.565,34.09,195.462,101.938,205.16,35.13,48.98,42.099,107.51,31.7,83.66,21.717,25.61,42.018,27.738,16.066,18.16,55.496,324.5,10.08,182.422,85.49,8.133,251.72,102.479,46.184,582.33,10.56,34.528,482.511,66.976,29.005,123.74
